title,url
You might not need tmux,https://bower.sh/you-might-not-need-tmux
Every satellite orbiting earth and who owns them (2023),https://dewesoft.com/blog/every-satellite-orbiting-earth-and-who-owns-them
Slow,https://michaelnotebook.com/slow/index.html
Releasing weights for FLUX.1 Krea,https://www.krea.ai/blog/flux-krea-open-source-release
The anti-abundance critique on housing is wrong,https://www.derekthompson.org/p/the-anti-abundance-critique-on-housing
PHP-ORT: Machine learning inference for the web,https://krakjoe.github.io/ort/
QUIC for the kernel,https://lwn.net/Articles/1029851/
MacBook Pro Insomnia,https://manuel.bernhardt.io/posts/2025-07-24-macbook-pro-insomnia
Ubiquiti launches UniFi OS Server for self-hosting,https://lazyadmin.nl/home-network/unifi-os-server/
Living with an Apple Lisa [video],https://www.youtube.com/watch?v=KISxcJ2DydY
Gemini Embedding: Powering RAG and context engineering,https://developers.googleblog.com/en/gemini-embedding-powering-rag-context-engineering/
“No tax on tips” is an industry plant,https://www.newyorker.com/magazine/2025/08/04/no-tax-on-tips-is-an-industry-plant
Pride Versioning 0.3.0,https://pridever.org/
Many countries that said no to ChatControl in 2024 are now undecided,https://digitalcourage.social/@echo_pbreyer/114946559233051667
Rao Reading Algorithm (2024),https://raohacker.com/rao-reading-algorithm/
Show HN: I made a website that makes you cry,https://www.cryonceaweek.com
"Programmers aren’t so humble anymore, maybe because nobody codes in Perl",https://www.wired.com/story/programmers-arent-humble-anymore-nobody-codes-in-perl/
Show HN: Mcp-use – Connect any LLM to any MCP,https://github.com/mcp-use/mcp-use
Raspberry Pi 5 Gets a MicroSD Express Hat,https://www.cnx-software.com/2025/07/28/raspberry-pi-5-gets-a-microsd-express-hat/
Show HN: AgentMail – Email infra for AI agents,https://chat.agentmail.to/
